name,price,stars,link
kool-aid-green-apple-preparato-per-bevande-alla-ciliegia-da-3-9g,"€0,99",0.00,/collections/snack-americani/products/kool-aid-green-apple-preparato-per-bevande-alla-ciliegia-da-3-9g
one-piece-chopper-iced-tea-al-gusto-di-frutti-rossi-da-500ml,"€4,29",0.00,/collections/snack-americani/products/one-piece-chopper-iced-tea-al-gusto-di-frutti-rossi-da-500ml
dragonball-super-gohan-iced-tea-alla-pesca-da-500ml,"€4,29",0.00,/collections/snack-americani/products/dragonball-super-gohan-iced-tea-alla-pesca-da-500ml
kool-aid-berry-cherry,"€0,99",0.00,/collections/snack-americani/products/kool-aid-berry-cherry
hostess-cupcakes-orange-cupcake-allarancia-da-96g,"€4,49",0.00,/collections/snack-americani/products/hostess-cupcakes-orange-cupcake-allarancia-da-96g
lemonahead-pink-lemonade-caramelle-alla-limonata-rosa-da-23g,"€0,99",0.00,/collections/snack-americani/products/lemonahead-pink-lemonade-caramelle-alla-limonata-rosa-da-23g
hersheys-skor-barretta-cioccolato-ripieno-di-mandorle-caramellate-da-39g,"€1,99",0.00,/collections/snack-americani/products/hersheys-skor-barretta-cioccolato-ripieno-di-mandorle-caramellate-da-39g
monster-monarc-energy-drink-alla-frutta-da-500ml,"€2,49",0.00,/collections/snack-americani/products/monster-monarc-energy-drink-alla-frutta-da-500ml
starburst-tropical,"€1,99",5.00,/collections/snack-americani/products/starburst-tropical
hostess-snoballs,"€7,99",0.00,/collections/snack-americani/products/hostess-snoballs
hostess-cupcakes-chocolate-cupcake-al-cioccolato-da-96g,"€4,49",0.00,/collections/snack-americani/products/hostess-cupcakes-chocolate-cupcake-al-cioccolato-da-96g
nesquik-chocolate-caramel-swirl-preparato-in-polvere-al-cioccolato-e-caramello-da-525g,"€10,99",0.00,/collections/snack-americani/products/nesquik-chocolate-caramel-swirl-preparato-in-polvere-al-cioccolato-e-caramello-da-525g
sweetarts-rope-tangy-strawberry-caramelle-gommose-alla-fragola-da-99g,"€1,79",0.00,/collections/snack-americani/products/sweetarts-rope-tangy-strawberry-caramelle-gommose-alla-fragola-da-99g
wrigley-spearmint-extra-refreshers-gomme-alla-menta-da-15g,"€1,49",0.00,/collections/snack-americani/products/wrigley-spearmint-extra-refreshers-gomme-alla-menta-da-15g
dunkin-hazelnut-coffee-caffe-americano-alla-nocciola-da-340g,"€16,49",0.00,/collections/snack-americani/products/dunkin-hazelnut-coffee-caffe-americano-alla-nocciola-da-340g
